tx_id,category,payment_method,country,amount_eur,ts
20260603-00-00165,electronics,transfer,NL,0.0,2026-06-03T10:36:00
20260603-00-00166,fashion,transfer,FR,0.0,2026-06-03T10:07:00
20260603-00-00167,fashion,transfer,BE,0.0,2026-06-03T11:53:00
20260603-00-00168,groceries,cash,FR,0.0,2026-06-03T23:21:00
20260603-00-00169,books,transfer,BE,0.0,2026-06-03T22:10:00
20260603-00-00170,toys,card,BE,0.0,2026-06-03T04:09:00
20260603-00-00171,fashion,card,ES,0.0,2026-06-03T23:18:00
20260603-00-00172,books,card,DE,0.0,2026-06-03T22:28:00
20260603-00-00173,electronics,transfer,IT,0.0,2026-06-03T05:06:00
20260603-00-00174,home,cash,ES,0.0,2026-06-03T11:51:00
20260603-00-00175,home,transfer,IT,0.0,2026-06-03T14:22:00
20260603-00-00176,home,cash,NL,0.0,2026-06-03T21:25:00
20260603-00-00177,books,wallet,IT,0.0,2026-06-03T21:52:00
20260603-00-00178,toys,card,DE,0.0,2026-06-03T18:02:00
20260603-00-00179,groceries,transfer,IT,0.0,2026-06-03T03:54:00
20260603-00-00180,books,card,NL,0.0,2026-06-03T18:56:00
20260603-00-00181,groceries,transfer,FR,0.0,2026-06-03T07:56:00
20260603-00-00182,home,cash,IT,0.0,2026-06-03T05:41:00
20260603-00-00183,groceries,wallet,IT,0.0,2026-06-03T01:03:00
20260603-00-00184,fashion,cash,BE,0.0,2026-06-03T01:31:00
20260603-00-00185,toys,card,FR,0.0,2026-06-03T19:01:00
20260603-00-00186,sports,wallet,IT,0.0,2026-06-03T20:42:00
20260603-00-00187,toys,card,DE,0.0,2026-06-03T05:30:00
20260603-00-00188,electronics,wallet,ES,0.0,2026-06-03T20:25:00
20260603-00-00189,groceries,wallet,NL,0.0,2026-06-03T02:47:00
20260603-00-00190,fashion,cash,BE,0.0,2026-06-03T05:57:00
20260603-00-00191,electronics,transfer,ES,0.0,2026-06-03T09:24:00
20260603-00-00192,toys,cash,DE,0.0,2026-06-03T15:42:00
20260603-00-00193,books,transfer,FR,0.0,2026-06-03T11:46:00
20260603-00-00194,groceries,wallet,NL,0.0,2026-06-03T08:41:00
20260603-00-00195,fashion,card,ES,0.0,2026-06-03T14:00:00
20260603-00-00196,home,card,IT,0.0,2026-06-03T07:03:00
20260603-00-00197,groceries,card,FR,0.0,2026-06-03T04:19:00
20260603-00-00198,books,card,ES,0.0,2026-06-03T05:03:00
20260603-00-00199,groceries,cash,BE,0.0,2026-06-03T16:16:00
